Roberts, Daniel,  3, 74, 3, 27, 1, 46, 1, 48, 1, 8
Phillips, Louis,  4, 55, 2, 7, 3, 80, 1, 98, 4, 6, 1, 1, 3, 96
Clark, Arlo,  1, 91, 2, 76, 3, 90, 4, 78, 1, 23
Jimenez, Aisha,  3, 60, 3, 29, 4, 89, 4, 67, 3, 67, 4, 15
Myers, Elodie,  2, 89, 3, 95, 4, 69, 2, 60, 4, 55, 3, 26
Castillo, Summer,  1, 33, 3, 33, 1, 92, 1, 16, 3, 91, 2, 21, 1, 54, 1, 87
Sanders, Yusuf,  3, 91, 2, 27, 3, 56, 2, 13, 2, 54, 4, 19
Carter, Hallie,  3, 60, 3, 100, 3, 31, 3, 21, 1, 76, 1, 34, 3, 12
Gutierrez, Riley,  2, 21, 1, 30, 3, 5, 4, 41, 2, 87, 2, 39, 4, 6, 3, 67
Morales, Bella,  3, 83, 1, 90, 3, 40, 4, 100, 4, 30, 2, 56
Sanders, Yusuf,  2, 78, 4, 62, 2, 38, 3, 35, 4, 8, 4, 82
Gonzales, Willow,  4, 14, 2, 9, 1, 91, 4, 53, 4, 8
Johnson, Amelia,  1, 78, 4, 82, 2, 83, 4, 96, 1, 22
Ward, Darcie,  3, 20, 4, 11, 4, 31
Lopez, Freya,  3, 55, 2, 66, 3, 59, 4, 55
Bailey, Jenson,  2, 10, 1, 41, 3, 88
Johnson, George,  1, 14, 2, 62, 3, 7
Allen, Max,  4, 31, 2, 34, 3, 39, 3, 91, 2, 8, 4, 20
Hughes, Clara,  1, 5, 2, 84, 2, 83
Ramirez, Harper,  2, 68, 3, 49, 1, 36, 4, 21, 4, 23, 2, 90
Wright, Eva,  3, 19, 1, 48, 3, 95
Myers, Otis,  1, 33, 4, 60, 4, 34, 1, 89, 3, 74, 3, 25, 3, 67, 2, 24
Torres, Jessica,  3, 69, 4, 52, 4, 71, 3, 29, 4, 35, 3, 56
Harris, Phoebe,  1, 68, 4, 10, 3, 75, 4, 83, 2, 99, 2, 24, 3, 14
Long, Harley,  1, 99, 3, 67, 3, 10, 4, 70, 3, 12
Ross, Eden,  3, 25, 2, 68, 3, 72, 2, 98, 2, 72, 3, 94, 4, 80
Green, Harrison,  3, 1, 1, 7, 3, 56, 3, 2, 2, 46, 4, 30
Collins, Ezra,  2, 41, 4, 81, 3, 84, 2, 99, 3, 84, 3, 30, 3, 55, 3, 100
Bennet, Harvey,  4, 16, 2, 42, 3, 7, 1, 18, 4, 32, 4, 29, 4, 85, 1, 56
Rodriguez, Rosie,  3, 91, 3, 52, 3, 81, 4, 28, 4, 86, 3, 62, 4, 16
Wood, Chester,  2, 93, 4, 41, 4, 58, 2, 17, 4, 29, 2, 98, 4, 95, 2, 74
Chavez, Amber,  2, 51, 3, 26, 4, 57
Morris, Toby,  2, 68, 4, 61, 1, 11, 4, 31, 4, 95
Jones, Mia,  3, 0, 2, 67, 3, 24, 3, 17
Jackson, Jacob,  3, 96, 4, 7, 4, 56, 4, 95, 4, 96, 1, 95
Williams, Isla,  2, 87, 3, 16, 1, 11, 4, 37, 2, 62, 3, 10, 4, 60
Green, Harrison,  3, 55, 3, 79, 1, 30, 4, 79, 2, 8, 3, 62, 3, 54, 4, 85
Bailey, Jenson,  3, 48, 2, 89, 2, 23, 1, 40, 2, 63, 1, 58, 1, 35
Sanchez, Sophie,  4, 19, 2, 29, 2, 100, 4, 8
Kelly, Michael,  3, 97, 3, 6, 2, 11, 1, 42, 1, 37, 3, 28, 3, 90
Hughes, Jackson,  1, 4, 2, 62, 3, 88
Cox, Jasper,  1, 88, 4, 31, 3, 96, 2, 26
Mendoza, Charles,  2, 7, 4, 62, 1, 43, 2, 17, 3, 6, 2, 93, 1, 20, 1, 28
Perez, Tommy,  1, 46, 1, 82, 3, 91, 1, 48, 3, 75, 2, 61, 3, 73
Green, Maisie,  1, 23, 2, 70, 4, 58, 2, 58, 2, 65
Kim, Iris,  2, 56, 1, 99, 2, 26
Hughes, Jackson,  1, 67, 2, 90, 4, 40, 1, 21, 4, 77
Garcia, Leo,  3, 51, 3, 2, 2, 84
White, Daisy,  4, 81, 4, 68, 1, 47, 2, 94, 3, 93, 3, 72, 3, 79
Bailey, Jenson,  4, 77, 1, 80, 2, 8, 1, 62, 1, 18
